********************************************************************************
Obsolete PIO Core v6.1.18 is used (previous was 6.1.19)
Please remove multiple PIO Cores from a system:
https://docs.platformio.org/en/latest/core/installation/troubleshooting.html
********************************************************************************
--- forcing DTR inactive
--- forcing RTS inactive
--- Terminal on /dev/cu.usbserial-A10N20X1 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
# ── Ball-and-Beam Controller ──────────────────
# SHARP_K      = 27.86 V·cm
# SHARP_OFFSET = 0.00 cm
# D_MIN        = 8.00 cm
# D_MAX        = 20.20 cm
# Setpoint     = 14.10 cm
# Kp = 20.00  Ki = 0.00  Kd = 3.00
# DT = 40 ms
# EMA_ALPHA    = 0.20
# STEP_LIMIT   = ±400 steps (±45.0°)
# DIR_SIGN     = -1
# Commands: S<d_cm>  R  H  C  ?
# ────────────────────────────────────────────────
t_ms,d_raw_cm,d_filt_cm,error_cm,integral_cms,p_steps,i_steps,d_steps,n_target,step_pos
26650,14.48,15.32,1.220,-7.463,24.40,0.00,-15.81,9,9
26850,15.77,15.37,1.273,-7.241,25.47,0.00,7.40,33,33
27051,15.29,15.45,1.348,-6.968,26.96,0.00,-2.92,24,24
27250,14.69,15.07,0.973,-6.737,19.46,0.00,-7.16,12,12
27450,14.25,14.60,0.504,-6.601,10.07,0.00,-6.63,3,3
27650,13.97,14.26,0.155,-6.543,3.10,0.00,-5.33,-2,-2
27850,14.07,14.07,-0.031,-6.540,-0.61,0.00,0.10,-1,-1
28050,14.39,14.19,0.089,-6.537,1.78,0.00,3.85,6,6
28250,14.72,14.43,0.333,-6.492,6.66,0.00,5.37,12,12
28449,14.96,14.77,0.673,-6.382,13.45,0.00,3.53,17,17
28653,14.21,14.85,0.754,-6.219,15.09,0.00,-11.99,3,3
28851,15.03,14.51,0.412,-6.145,8.24,0.00,9.71,18,18
29051,13.13,14.33,0.228,-6.033,4.57,0.00,-22.39,-18,-18
29250,15.22,14.58,0.477,-5.992,9.54,0.00,12.07,22,22
29450,13.65,14.23,0.129,-5.911,2.59,0.00,-10.81,-8,-8
29650,15.21,14.72,0.623,-5.836,12.46,0.00,9.14,22,22
29853,14.42,14.14,0.044,-5.797,0.89,0.00,5.20,6,6
30054,13.73,14.37,0.265,-5.742,5.31,0.00,-11.97,-7,-7
30251,14.49,14.01,-0.092,-5.768,-1.84,0.00,9.13,7,7
30450,13.28,13.86,-0.241,-5.771,-4.83,0.00,-10.86,-16,-16
30650,14.85,14.18,0.077,-5.810,1.54,0.00,12.69,14,14
30850,13.29,13.77,-0.327,-5.824,-6.54,0.00,-8.97,-16,-16
31052,14.15,14.31,0.211,-5.812,4.22,0.00,-2.96,1,1
31252,14.70,13.98,-0.122,-5.847,-2.44,0.00,13.55,11,11
31451,14.07,14.53,0.432,-5.767,8.64,0.00,-8.75,0,0
31650,15.52,14.81,0.709,-5.681,14.19,0.00,13.35,28,28
31850,14.20,14.79,0.690,-5.500,13.80,0.00,-11.12,3,3
32050,15.86,15.24,1.138,-5.334,22.76,0.00,11.59,34,34
32252,14.82,14.64,0.535,-5.192,10.71,0.00,3.37,14,14
32454,14.39,15.02,0.919,-5.013,18.38,0.00,-11.71,7,7
32650,14.98,14.59,0.485,-4.913,9.71,0.00,7.41,17,17
32851,13.65,14.49,0.389,-4.793,7.77,0.00,-15.67,-8,-8
33050,14.97,14.46,0.359,-4.754,7.17,0.00,9.61,17,17
33249,13.39,13.99,-0.107,-4.714,-2.14,0.00,-11.34,-13,-13
33451,15.07,14.54,0.442,-4.678,8.83,0.00,9.90,19,19
33653,14.59,14.16,0.059,-4.654,1.18,0.00,8.04,9,9
33854,14.19,14.66,0.564,-4.560,11.28,0.00,-8.92,2,2
34050,15.07,14.47,0.375,-4.505,7.50,0.00,11.16,19,19
34250,13.87,14.47,0.370,-4.394,7.39,0.00,-11.26,-4,-4
34450,15.30,14.81,0.706,-4.302,14.11,0.00,9.31,23,23
34650,13.83,14.40,0.298,-4.184,5.96,0.00,-10.70,-5,-5
34853,14.44,14.76,0.657,-4.071,13.15,0.00,-5.95,7,7
35054,14.83,14.10,-0.001,-4.064,-0.01,0.00,13.78,14,14
35251,13.93,14.44,0.341,-3.991,6.82,0.00,-9.61,-3,-3
35450,15.17,14.55,0.452,-3.944,9.05,0.00,11.58,21,21
35650,13.84,14.46,0.359,-3.826,7.18,0.00,-11.69,-5,-5
35850,15.69,14.93,0.831,-3.726,16.62,0.00,14.27,31,31
36050,15.72,15.50,1.401,-3.482,28.01,0.00,4.20,32,32
36250,15.52,15.57,1.468,-3.191,29.37,0.00,-0.88,28,28
36450,15.68,15.60,1.496,-2.894,29.91,0.00,1.61,32,32
36649,15.64,15.61,1.512,-2.594,30.24,0.00,0.49,31,31
36849,15.70,15.65,1.550,-2.287,31.00,0.00,0.99,32,32
37049,15.66,15.67,1.568,-1.974,31.36,0.00,-0.15,31,31
37249,15.69,15.68,1.579,-1.659,31.57,0.00,0.25,32,32
37449,15.68,15.69,1.585,-1.342,31.71,0.00,-0.08,32,32
37654,14.49,15.45,1.346,-1.034,26.91,0.00,-18.00,9,9
37851,15.16,14.82,0.723,-0.878,14.46,0.00,6.32,21,21
38050,14.02,14.80,0.701,-0.699,14.01,0.00,-14.59,-1,-1
38250,15.44,14.84,0.744,-0.591,14.89,0.00,11.12,26,26
38450,13.60,14.37,0.267,-0.470,5.34,0.00,-14.30,-9,-9
38649,15.33,14.86,0.759,-0.368,15.18,0.00,8.89,24,24
38853,14.68,14.35,0.252,-0.294,5.04,0.00,6.18,11,11
39054,14.34,14.81,0.715,-0.170,14.29,0.00,-8.90,5,5
39250,15.28,14.64,0.542,-0.084,10.85,0.00,11.99,23,23
39449,14.02,14.56,0.461,0.050,9.22,0.00,-10.09,-1,-1
39650,15.58,14.96,0.863,0.163,17.26,0.00,11.66,29,29
39851,13.96,14.54,0.440,0.310,8.81,0.00,-10.84,-2,-2
40050,15.74,15.20,1.105,0.476,22.09,0.00,9.95,32,32
40254,15.16,14.69,0.585,0.612,11.70,0.00,8.90,21,21
40451,14.12,14.79,0.686,0.774,13.72,0.00,-12.53,1,1
40650,15.37,14.78,0.679,0.872,13.59,0.00,11.16,25,25
40850,13.89,14.57,0.469,1.020,9.37,0.00,-12.64,-3,-3
41050,15.46,14.93,0.831,1.132,16.62,0.00,9.88,27,27
41253,14.81,14.61,0.506,1.265,10.12,0.00,3.74,14,14
41453,14.57,15.04,0.937,1.439,18.75,0.00,-8.78,10,10
41651,15.33,14.78,0.680,1.561,13.61,0.00,10.37,24,24
41850,14.35,14.97,0.874,1.757,17.48,0.00,-11.71,6,6
