as5600_deg_unwrapped,forward_theta_deg,reverse_theta_deg,reverse_minus_forward_deg
309.18133,-0.0,0.337965206904007,0.337965206904007
309.63867,-0.0,0.39000011377729077,0.39000011377729077
310.15502,0.0,0.44073045991215964,0.44073045991215964
310.60958,0.0,0.48394204992680057,0.48394204992680057
311.12731,0.1,0.5,0.4
311.57226,0.1,0.5,0.4
311.98147,0.2,0.5399930299711247,0.33999302997112474
312.36328,0.2,0.5875149357761584,0.3875149357761584
312.81512,0.3,0.6369397770141736,0.3369397770141736
313.32458,0.2,0.6904752897659853,0.49047528976598526
313.76953,0.3,0.7365441343317428,0.43654413433174283
314.29687,0.3,0.7909348763331053,0.49093487633310534
314.73632,0.4,0.8363632602399625,0.4363632602399625
315.19226,0.4,0.8835229623500173,0.48352296235001724
315.61523,0.5,0.9333333333333333,0.43333333333333335
316.03683,0.5,0.9866322802493049,0.48663228024930494
316.49414,0.5,1.0,0.5
316.93359,0.6,1.0,0.4
317.38128,0.6,1.0341142895068702,0.43411428950687025
317.96353,0.7,1.0893200845746145,0.38932008457461453
318.42773,0.7,1.1,0.40000000000000013
318.86718,0.7,1.1,0.40000000000000013
319.22146,0.8,1.1322136717847704,0.33221367178477035
319.6582,0.8,1.1853082412439107,0.3853082412439106
320.09765,0.8,1.234117193523515,0.43411719352351485
320.56735,0.9,1.2844148890602207,0.3844148890602207
321.06445,0.9,1.3358529819694887,0.43585298196948863
321.59179,1.0,1.3896324549237187,0.3896324549237187
322.03125,1.0,1.4,0.3999999999999999
322.4707,1.0,1.4,0.3999999999999999
322.88952,1.1,1.4307248868549476,0.3307248868549475
323.30563,1.1,1.4833291193648717,0.3833291193648716
323.70117,1.1,1.5299999999999994,0.42999999999999927
324.22851,1.2,1.5900000000000045,0.39000000000000457
324.66796,1.2,1.6333330172847007,0.43333301728470075
325.19531,1.2,1.6833334913576523,0.48333349135765236
325.64166,1.3,1.7,0.3999999999999999
326.07421,1.4,1.7,0.30000000000000004
326.51367,1.4,1.7223606168446022,0.32236061684460227
326.95312,1.4,1.777817319098461,0.37781731909846106
327.39257,1.4,1.8299996586681213,0.4299996586681214
327.83203,1.5,1.8800002275545815,0.3800002275545815
328.35937,1.5,1.9,0.3999999999999999
328.85647,1.6,1.9,0.2999999999999998
329.32617,1.6,1.9299999999999993,0.3299999999999992
329.75872,1.6,1.9792149277505964,0.3792149277505963
330.15292,1.6,2.0,0.3999999999999999
330.55664,1.7,2.0,0.30000000000000004
330.99609,1.7,2.0199999999999974,0.3199999999999974
331.51654,1.7,2.079216065536469,0.3792160655364689
331.96289,1.8,2.125000711109428,0.32500071110942774
332.49023,1.8,2.175000237036476,0.375000237036476
332.93246,1.9,2.2195823828741883,0.3195823828741884
333.45013,1.9,2.276354404281451,0.37635440428145106
333.80859,1.9,2.3,0.3999999999999999
334.24804,1.9,2.3,0.3999999999999999
334.6875,2.0,2.3200009102183388,0.32000091021833876
335.12835,2.0,2.3701596295411367,0.3701596295411367
335.65429,2.0,2.424999762963524,0.42499976296352404
336.18164,2.1,2.475000237036476,0.3750002370364758
336.62109,2.1,2.519906007587337,0.4199060075873371
337.06054,2.1,2.5696710265556897,0.4696710265556896
337.5,2.2,2.6,0.3999999999999999
337.93667,2.2,2.6,0.3999999999999999
338.31301,2.2,2.612502986653925,0.4125029866539247
338.81835,2.3,2.6699992035589566,0.36999920355895677
339.34155,2.3,2.7246065157204087,0.42460651572040886
339.78652,2.4,2.766796563886677,0.36679656388667725
340.3125,2.4,2.8,0.3999999999999999
340.75195,2.4,2.8,0.3999999999999999
340.92773,2.4,2.8,0.3999999999999999
